Fecha,Hora,ZP,imecas,zona,contaminante,color
2019-05-04,10,NOO3,24.0,NO,O3,gray
2019-05-04,11,NOO3,36.0,NO,O3,gray
2019-05-04,12,NOO3,57.0,NO,O3,gray
2019-05-04,13,NOO3,88.0,NO,O3,gray
2019-05-04,14,NOO3,104.0,NO,O3,gray
2019-05-04,15,NOO3,84.0,NO,O3,gray
2019-05-04,16,NOO3,55.0,NO,O3,gray
2019-05-04,17,NOO3,50.0,NO,O3,gray
2019-05-04,18,NOO3,50.0,NO,O3,gray
2019-05-04,19,NOO3,67.0,NO,O3,gray
2019-05-04,20,NOO3,49.0,NO,O3,gray
2019-05-04,21,NOO3,44.0,NO,O3,gray
2019-05-04,22,NOO3,31.0,NO,O3,gray
2019-05-04,23,NOO3,20.0,NO,O3,gray
2019-05-04,24,NOO3,14.0,NO,O3,gray
2019-05-05,1,NOO3,11.0,NO,O3,gray
2019-05-05,2,NOO3,14.0,NO,O3,gray
2019-05-05,3,NOO3,16.0,NO,O3,gray
2019-05-05,4,NOO3,11.0,NO,O3,gray
2019-05-05,5,NOO3,22.0,NO,O3,gray
2019-05-05,6,NOO3,31.0,NO,O3,gray
2019-05-05,7,NOO3,5.0,NO,O3,gray
2019-05-05,8,NOO3,5.0,NO,O3,gray
2019-05-05,9,NOO3,8.0,NO,O3,gray
2019-05-05,10,NOO3,29.0,NO,O3,gray
2019-05-05,11,NOO3,39.0,NO,O3,gray
2019-05-05,12,NOO3,55.0,NO,O3,gray
2019-05-05,13,NOO3,90.0,NO,O3,gray
2019-05-05,14,NOO3,104.0,NO,O3,gray
2019-05-05,15,NOO3,98.0,NO,O3,gray
2019-05-05,16,NOO3,98.0,NO,O3,gray
2019-05-05,17,NOO3,48.0,NO,O3,gray
2019-05-05,18,NOO3,43.0,NO,O3,gray
2019-05-05,19,NOO3,35.0,NO,O3,gray
2019-05-05,20,NOO3,36.0,NO,O3,gray
2019-05-05,21,NOO3,34.0,NO,O3,gray
2019-05-05,22,NOO3,28.0,NO,O3,gray
2019-05-05,23,NOO3,18.0,NO,O3,gray
2019-05-05,24,NOO3,20.0,NO,O3,gray
2019-05-06,1,NOO3,15.0,NO,O3,gray
2019-05-06,2,NOO3,14.0,NO,O3,gray
2019-05-06,3,NOO3,36.0,NO,O3,gray
2019-05-06,4,NOO3,23.0,NO,O3,gray
2019-05-06,5,NOO3,26.0,NO,O3,gray
2019-05-06,6,NOO3,21.0,NO,O3,gray
2019-05-06,7,NOO3,8.0,NO,O3,gray
2019-05-06,8,NOO3,3.0,NO,O3,gray
2019-05-06,9,NOO3,5.0,NO,O3,gray
2019-05-06,10,NOO3,15.0,NO,O3,gray
2019-05-06,11,NOO3,33.0,NO,O3,gray
2019-05-06,12,NOO3,41.0,NO,O3,gray
2019-05-06,13,NOO3,49.0,NO,O3,gray
2019-05-06,14,NOO3,65.0,NO,O3,gray
2019-05-06,15,NOO3,59.0,NO,O3,gray
2019-05-06,16,NOO3,61.0,NO,O3,gray
2019-05-06,17,NOO3,49.0,NO,O3,gray
2019-05-06,18,NOO3,51.0,NO,O3,gray
2019-05-06,19,NOO3,46.0,NO,O3,gray
2019-05-06,20,NOO3,42.0,NO,O3,gray
2019-05-06,21,NOO3,35.0,NO,O3,gray
2019-05-06,22,NOO3,35.0,NO,O3,gray
2019-05-06,23,NOO3,35.0,NO,O3,gray
2019-05-06,24,NOO3,25.0,NO,O3,gray
2019-05-07,1,NOO3,0.0,NO,O3,gray
2019-05-07,2,NOO3,0.0,NO,O3,gray
2019-05-07,3,NOO3,0.0,NO,O3,gray
2019-05-07,4,NOO3,0.0,NO,O3,gray
2019-05-07,5,NOO3,13.0,NO,O3,gray
2019-05-07,6,NOO3,4.0,NO,O3,gray
2019-05-07,7,NOO3,3.0,NO,O3,gray
2019-05-07,8,NOO3,3.0,NO,O3,gray
2019-05-07,9,NOO3,4.0,NO,O3,gray
2019-05-07,10,NOO3,14.0,NO,O3,gray
2019-05-07,11,NOO3,36.0,NO,O3,gray
2019-05-07,12,NOO3,45.0,NO,O3,gray
